12515	avtobsk.ru	0.25	0.074156	0.1468
13257	abnews.ru	0.25	0.05	0.21
11909	antique.totalarch.com	0.25	0.0528	0.124546
10134	am-online.lordfilms-s.art	0.25	0.02673	1.0
12685	ap.lordfilms-s.tv	0.5	0.1468	1.0
8663	audio-books.su	0.5	0.009091	1.0
13266	aioncodex.com	0.95	0.013999	0.056249
13901	ast-news.ru	0.5	0.085	0.085
13233	ast-news.ru	0.25	0.036363	0.124546
11860	adijuhpalace.ru	0.5	0.009078	0.21
13898	akket.com	0.95	0.08	0.124
13257	aredi.ru	0.25	0.023999	0.056249
11857	avtonomnaya--gazifikaciya-ru.turbopages.org	0.5	0.016425	0.1
12282	a-geometry.narod.ru	0.5	0.0728	0.12845
11865	alanspb.ru	0.5	0.00726	1.0
12176	app.hugly.social_pro	0.95	0.000834	1.0
12685	ad.lordfilms-s.tube	0.5	0.077273	1.0
13812	avtonovostidnya.ru	0.25	0.01045	0.1
8663	auc.estransit.ru	0.25	0.015455	0.0864
10208	animedub.ru	0.25	0.0	1.0
14051	auto-games.ru	0.95	0.056075	1.0
12532	avto-blogger.ru	0.95	0.075	1.0
13426	and.lihuhu.tilematch3d	0.95	0.000686	0.00255
13812	ad3.lordfilms.green	0.25	0.008182	1.0
14051	atnya-rt.ru	0.75	0.1064	1.0
10134	assassins-creed.ru	0.75	0.01904	1.0
12358	app.datebox.dalla	0.95	0.000196	0.001139
12355	auction.arkonauto.ru	0.95	0.2	0.2
12282	auto-games.ru	0.5	0.054546	1.0
8623	antifashist.com	0.5	0.000995	0.125565
9012	abesu.org	0.5	0.067164	0.067164
11868	anwap.site	0.25	0.015989	0.1
10209	arabio.ru	0.25	0.05	0.05
10006	audit-it.ru	0.25	0.04	0.04375
10725	avangard-info.ru	0.75	0.0136	0.03
12685	avtobisnes.ru	0.5	0.057227	1.0
11887	agikomd.ru	0.5	0.016667	0.05
13815	antrio.ru	0.95	0.028	0.1
13266	agkonsult.ru	0.95	0.056249	0.056249
9012	avtograf70.ru	0.5	0.012	1.0
12685	articlefilm.ru	0.95	0.048763	1.0
13677	as93.online-stars.org	0.95	0.045	0.1
14142	am-online.lordfilms-s.art	0.75	0.09563	0.1
13233	audioknig.net	0.5	0.010999	0.099999
13680	avtomera.com	0.25	0.007273	1.0
11777	animego.org	0.25	0.001215	1.0
11777	akademiya-umbrella.online	0.25	0.0792	1.0
12685	abraham-erskine.allohastream.com	0.5	0.079999	1.0
12685	animejapan.tv	0.75	0.06945	1.0
12513	adfox.ru	0.95	0.039363	0.129341
12282	avtotop.info	0.75	0.081818	1.0
9035	anilove.tv	0.5	0.00528	0.06
14036	avidreaders.ru	0.75	0.104	1.0
12507	alternathistory.com	0.25	0.011989	1.0
9012	americandad.fox-fan.tv	0.75	0.0096	0.12
9012	absolute-finance.ru	0.75	0.009091	0.045
13899	autoreview.ru	0.5	0.006875	0.029
13988	animego.org	0.25	0.04	1.0
12927	autobau.ru	0.25	0.08126	1.0
10134	auc.priority-auto.ru	0.75	0.0495	0.0875
11864	auto.otzyv.ru	0.75	0.049988	0.09
13818	azminecraft.ru	0.95	0.01595	1.0
12685	alexfl.pro	0.75	0.096	1.0
8592	anime-bit.ru	0.75	0.002	1.0
12507	amurmedia.ru	0.5	0.039989	0.1
11777	anistar.su	0.95	0.066584	1.0
11777	aniqit.com	0.25	0.079453	1.0
14051	agryz-rt.ru	0.25	0.1468	1.0
12507	arzon.tj	0.25	0.014989	0.1
12378	air.com.games2win.indianfashionstylist	0.75	0.016	1.0
12515	and.lihuhu.matching3d	0.5	0.0005	0.122728
10134	as-online.lordfilms-s.art	0.5	0.075	0.075
13233	arabicprogrammer.com	0.25	0.007273	0.09
11791	as95.online-stars.org	0.95	0.0375	0.0405
13233	augustnews.ru	0.25	0.036364	1.0
11860	almamater13.ru	0.5	0.009078	1.0
12901	anvay.ru	0.75	0.03937	1.0
12685	aself.ucoz.ru	0.75	0.074167	0.088
9866	aspektcenter.ru	0.5	0.016	1.0
8589	astrologic.ru	0.95	0.013625	1.0
14036	alfalady-org.turbopages.org	0.95	0.05281	0.1
10009	army-24.ru	0.75	0.0136	1.0
12515	anticwar.ru	0.95	0.069091	1.0
14131	ab-online.lordfilms-s.art	0.5	0.0875	1.0
8589	assistbank.ru	0.25	0.027273	0.124
14003	alpha-otvet.ru	0.5	0.003714	0.1
11858	all-sci.net	0.95	0.048989	0.069
12509	animego.online	0.25	0.001230	1.0
12886	arh-licey.eljur.ru	0.5	0.029788	0.068334
11791	a.o333o.com	0.95	0.02463	0.041
13812	autoclub99.ru	0.5	0.00775	1.0
11777	avto-dny.ru	0.75	0.0816	0.155
11865	armrinok.ru	0.25	0.014988	0.08
13899	artoftalk.ru	0.95	0.013636	1.0
9012	animan.top	0.95	0.01	0.1
12507	astrofd.ru	0.75	0.051989	0.104
13812	abino.ru	0.75	0.08	1.0
14149	autoclub174.ru	0.75	0.013636	0.05
8663	animespirit.tv	0.95	0.020534	0.05625
