511	Socdem
911	Socdem.Age.Age 12-14,Age 15-19,Age 20-24
912	Socdem.Age.Age 25-29,Age 30-34,Age 35-39,Age 40-44
913	Socdem.Age.Age 45-49,Age 50-54,Age 55-59
909	Socdem.Sex.Male
910	Socdem.Sex.Female
35055	Transport
102178	Transport.Auto owners
102967	Transport.Auto owners.Ravon
35076	Transport.Auto owners.Suzuki owners
35058	Transport.Auto owners.Audi
35059	Transport.Auto owners.BMW owners
35061	Transport.Auto owners.Chevrolet
35063	Transport.Auto owners.Ford owners
35064	Transport.Auto owners.Honda owners
35065	Transport.Auto owners.Hyundai owners
35066	Transport.Auto owners.Kia owners
35067	Transport.Auto owners.Lexus
102968	Transport.Auto owners.Mercedes owners
35069	Transport.Auto owners.Mitsubishi owners
35070	Transport.Auto owners.Nissan owners
100006	Transport.Auto owners.Peugeot owners
35072	Transport.Auto owners.Renault owners
35075	Transport.Auto owners.Subaru owners
35077	Transport.Auto owners.Toyota owners
35078	Transport.Auto owners.Volkswagen
84306	Transport.Auto owners.Volvo
35071	Transport.Auto owners.Opel owners
35073	Transport.Auto owners.Skoda
35056	Transport.Auto owners.LADA
102969	Transport.Auto owners.UAZ owners
35057	Transport.Auto owners.GAZ
102970	Transport.Auto owners.Aston Martin
84307	Transport.Auto owners.Mazda
102980	Transport.Auto owners.Acura owners
35068	Transport.Auto owners.Lifan owners
102989	Transport.Auto owners.Alfa Romeo
102994	Transport.Auto owners.Jaguar owners
102995	Transport.Auto owners.LandRover owners
102996	Transport.Auto owners.Fiat owners
102997	Transport.Auto owners.Bentley owners
102998	Transport.Auto owners.Bugatti
103003	Transport.Auto owners.Buick owners
103005	Transport.Auto owners.Ferrari
103006	Transport.Auto owners.Cadillac owners
103007	Transport.Auto owners.Chrysler owners
103008	Transport.Auto owners.Citroen
35060	Transport.Auto owners.Chery
35062	Transport.Auto owners.Daewoo owners
103009	Transport.Auto owners.Dodge owners
103010	Transport.Auto owners.GMC owners
103019	Transport.Auto owners.Hummer owners
103020	Transport.Auto owners.Infiniti
103021	Transport.Auto owners.Isuzu owners
103025	Transport.Auto owners.Jeep owners
103026	Transport.Auto owners.Lamborghini owners
103027	Transport.Auto owners.Lancia
103028	Transport.Auto owners.Lincoln
103029	Transport.Auto owners.Maserati owners
103030	Transport.Auto owners.Maybach
103031	Transport.Auto owners.Mercury
103032	Transport.Auto owners.Mini owners
103039	Transport.Auto owners.Pontiac
103044	Transport.Auto owners.Porsche
103045	Transport.Auto owners.Rolls-Royce owners
103046	Transport.Auto owners.Saab owners
103047	Transport.Auto owners.Saturn
103048	Transport.Auto owners.Scion
103049	Transport.Auto owners.SEAT
35074	Transport.Auto owners.SsangYoung owners
103050	Transport.Auto owners.Izh auto
100089	Transport.Auto owners.Moskvich
103051	Transport.Auto owners.TagAZ
103052	Transport.Auto owners.Datsun
102179	Transport.Auto buyers
35124	Transport.Auto buyers.Dealer centers
102966	Transport.Auto buyers.Hybrid and electric vehicles
102965	Transport.Auto buyers.Trailers and recreational vehicles
102964	Transport.Auto buyers.Sports cars
100025	Transport.Auto buyers.Minivans
100091	Transport.Auto buyers.American cars
95570	Transport.Auto buyers.American cars.Start Configurator
95569	Transport.Auto buyers.American cars.Download price or brochure
95568	Transport.Auto buyers.American cars.Visit the test drive page
95567	Transport.Auto buyers.American cars.Visit the dealer search page
95566	Transport.Auto buyers.American cars.Request or call order
95565	Transport.Auto buyers.American cars.Request for a test drive
95564	Transport.Auto buyers.American cars.Finish configurator
100092	Transport.Auto buyers.European cars
95710	Transport.Auto buyers.European cars.Start Configurator
95709	Transport.Auto buyers.European cars.Download price or brochure
95708	Transport.Auto buyers.European cars.Visit the test drive page
95707	Transport.Auto buyers.European cars.Visit the dealer search page
95706	Transport.Auto buyers.European cars.Request or call order
95704	Transport.Auto buyers.European cars.Request for a test drive
95703	Transport.Auto buyers.European cars.Finish configurator
100093	Transport.Auto buyers.Chinese cars
102760	Transport.Auto buyers.Chinese cars.Start Configurator
102761	Transport.Auto buyers.Chinese cars.Download price or brochure
102762	Transport.Auto buyers.Chinese cars.Visit the test drive page
102763	Transport.Auto buyers.Chinese cars.Visit the dealer search page
102764	Transport.Auto buyers.Chinese cars.Request or call order
102765	Transport.Auto buyers.Chinese cars.Request for a test drive
102766	Transport.Auto buyers.Chinese cars.Finish configurator
100094	Transport.Auto buyers.Domestic cars
95580	Transport.Auto buyers.Domestic cars.Start Configurator
95579	Transport.Auto buyers.Domestic cars.Download price or brochure
95578	Transport.Auto buyers.Domestic cars.Visit the test drive page
95577	Transport.Auto buyers.Domestic cars.Visit the dealer search page
95576	Transport.Auto buyers.Domestic cars.Request or call order
