sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51069	rdb-batch:c43	rdb-batch	22915178463789	17303777893478	93398973	43	43
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51070	rdb-batch:c44	rdb-batch	21307577438702	20796476338870	90408940	44	44
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51071	event_engine:c3	event_engine	1500897285492	10174530027805	50465458	3	3
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51072	rdb-batch:c45	rdb-batch	22143425167859	17786079144323	92569651	45	45
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51073	event_engine:c4	event_engine	1540981670324	7914586251149	54345598	4	4
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51074	rdb-batch:c46	rdb-batch	25040413112034	15780006857215	95902560	46	46
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51075	event_engine:c5	event_engine	1521991568904	8569973161537	51144085	5	5
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51076	event_engine:c6	event_engine	1440553325220	10799117275831	48507569	6	6
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51077	event_engine:c7	event_engine	1456797817896	8022915504767	51514039	7	7
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51078	event_engine:c8	event_engine	1379223635822	14501626307616	49562224	8	8
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51079	event_engine:c9	event_engine	1503362921701	8253014870736	53364241	9	9
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51080	event_engin:c13	event_engin	1291425607927	15490879533941	44622922	13	13
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51081	event_engin:c12	event_engin	1331094645402	13271299434880	48928653	12	12
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51082	event_engin:c11	event_engin	1411772045597	9679818697708	50915393	11	11
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51083	event_engin:c10	event_engin	1442048873561	9234224805870	49013288	10	10
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51084	event_engin:c14	event_engin	1378985635472	13765379468664	52072895	14	14
