sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84532	jemalloc_bg:c57	jemalloc_bg	474184954785	45930405350	104583	57	57
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84533	grpc_global:c34	grpc_global	2129196459	20100380862	74483	34	34
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84534	event_engin:c60	event_engin	1352225293799	7153318754241	57052279	60	60
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84535	event_engin:c61	event_engin	1374333914691	6719230297402	57799967	61	61
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84536	event_engin:c62	event_engin	1429473907341	7560335293379	55881553	62	62
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84537	event_engin:c63	event_engin	1445030201527	7115066553557	57683223	63	63
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84538	event_engin:c64	event_engin	1440549691537	7099727674129	56281801	64	64
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84539	event_engin:c65	event_engin	1435199947937	6687938365739	57649713	65	65
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84540	event_engin:c66	event_engin	1421065279424	7499883884842	59775172	66	66
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84541	event_engin:c67	event_engin	1360534055208	8324379363869	54537879	67	67
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84542	event_engin:c68	event_engin	1395332525534	7733509521792	55875461	68	68
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84543	event_engin:c69	event_engin	1400034712117	7337255706960	57117599	69	69
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84544	event_engin:c70	event_engin	1432903835465	8377773037737	55688677	70	70
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84545	event_engin:c71	event_engin	1563691341585	7578617484693	60751922	71	71
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84546	jemalloc_bg:c58	jemalloc_bg	243730686985	53853635066	66449	58	58
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84547	event_engin:c18	event_engin	1658106514397	8104991401854	57133299	18	18
0	1789479137222567168	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe201/CampaignManagerConfig.xml	84513	84548	event_engin:c19	event_engin	1510472588986	8882623113551	55487512	19	19
