service,pool,hosts,threads_min,threads_max,cpu_pct_mean,runqueue_wait_pct_mean,runnable_pct_mean,runnable_pct_host_p75,runnable_pct_host_max,recommended_points
CampaignManager,bs-grpc,5,4,4,1.0915770626278862,11.223970201837028,12.315547264464914,12.680900684309027,28.485517058830624,13
CampaignManager,bs-grpc-c,5,1,1,5.753210973143999,20.27645796982153,26.02966894296552,34.32218418399786,36.40582195836041,34
CampaignManager,cm-grpc-p,5,16,16,17.028674412189176,17.846430268292217,34.87510468048139,40.93259368722616,47.97988618836161,41
CampaignManager,cm-logging,5,4,4,19.77314239799866,30.834392939961173,50.60753533795984,55.984562975482696,69.24908837859087,56
CampaignManager,event_engine,5,16,16,2.0550110499295724,17.001693209479157,19.05670425940873,21.411906544017945,25.80877176813369,21
CampaignManager,fast-scheduler,5,1,1,0.0,0.0,0.0,0.0,0.0,1
CampaignManager,grpc-server,5,16,16,2.3178194413836914,9.591929635944414,11.909749077328103,15.813223293238332,17.889737312359483,16
CampaignManager,grpc_global,5,1,1,0.004497503476462593,0.10022264168753983,0.10472014516400241,0.12988970863290913,0.1929230771915015,1
CampaignManager,grpcpp_sync,5,1,1,0.0004463804698893965,0.005174959273154169,0.005621339743043566,0.008002708068645866,0.009670895077026382,1
CampaignManager,http-server,5,4,4,3.223821106704056e-06,7.921852771064485e-05,8.24423488173489e-05,0.00016752941534577316,0.00022292641654567916,1
CampaignManager,jemalloc_bg,5,4,4,0.57523979903699,0.1788410650025887,0.7540808640395787,0.7863300764930128,0.8207068540055004,1
CampaignManager,lifeguard,5,1,1,0.004675633454928478,0.17180149808797468,0.17647713154290315,0.2166017921981967,0.30678354091947874,1
CampaignManager,task-runner,5,5,5,8.038612668418878,4.591954487305265,12.630567155724144,16.329183341165084,17.003323835372345,16
ChannelServer,cs-grpc-p,5,16,16,33.81901645983429,15.642778679139116,49.4617951389734,54.32262615696125,64.7581240184632,54
ChannelServer,event_engine,5,16,16,1.6435507586485827,13.444152661449323,15.087703420097906,16.47542827632864,24.366287599814818,16
ChannelServer,fast-scheduler,5,1,1,0.0,0.0,0.0,0.0,0.0,1
ChannelServer,grpc-server,5,16,16,1.9679576898819557,8.552065100209614,10.520022790091572,13.237235413877176,16.258502431228465,13
ChannelServer,grpc_global,5,1,1,0.004058676770630321,0.10515134551662395,0.10921002228725427,0.17107132967603947,0.17562252924606372,1
ChannelServer,grpcpp_sync,5,2,2,0.00036758774066338344,0.006765901387833305,0.007133489128496688,0.009720298439177055,0.013432575577739895,1
ChannelServer,http-server,5,4,4,3.0641278547065797e-06,2.989579065200504e-05,3.295991850671162e-05,2.7377037998873632e-05,0.000117180137273492,1
ChannelServer,jemalloc_bg,5,4,4,0.047959989586420886,0.042219042968209046,0.09017903255462992,0.10720827838520916,0.15328770222126858,1
ChannelServer,lifeguard,5,1,1,0.005084948290384971,0.2079684958435776,0.21305344413396257,0.28989626628758375,0.34941126722194477,1
ChannelServer,task-runner,5,2,2,0.2569515725486818,0.1819797751084801,0.4389313476571618,0.5003900425212395,0.7700250149674684,1
FCGIActionServer,bid-request,5,64,64,0.06877108133814243,0.6361782496835319,0.7049493310216743,0.8099878782539054,0.8407922620275066,1
FCGIAdServer,bid-request,5,128,128,3.2596558594929964e-06,1.3034213193842355e-05,1.6293869053335352e-05,2.0167784377780777e-05,2.62771394539446e-05,1
FCGIRtbServer,bid-request,5,20,20,46.265862544507485,34.00966087881717,80.27552342332466,81.53722222428628,84.28597032955261,82
FCGIRtbServer,event_engine,5,16,16,3.605231811454883,35.99690092385437,39.602132735309254,41.11343298594278,42.94167451818989,41
FCGIRtbServer,fast-scheduler,5,10,10,4.263013774997999,54.41493514705011,58.67794892204812,60.82085944168948,65.27594688679714,61
FCGIRtbServer,fcgi-accept,5,16,16,15.468269263450697,60.609633951578815,76.07790321502951,77.3600408574721,79.29630699404245,77
FCGIRtbServer,grpc-asio-p,5,10,10,12.752103284321064,38.63233524054819,51.38443852486925,52.609941762250536,55.90468351743563,53
FCGIRtbServer,grpc-common,5,16,16,13.921839636588379,37.831939874607265,51.753779511195646,53.44108008993737,55.143422908053665,53
FCGIRtbServer,grpc_global,5,1,1,0.0058576769624180056,0.13504166503937237,0.14089934200179038,0.14231324726715322,0.18638092101702175,1
FCGIRtbServer,http-server,5,4,4,4.103563757374535e-06,2.6573366346734268e-05,3.0676930104108806e-05,1.8520789185374804e-05,9.905505958125079e-05,1
FCGIRtbServer,jemalloc_bg,5,4,4,1.4500561999521526,0.4039415411262238,1.8539977410783763,1.9262741629770006,2.008612810675361,2
FCGIRtbServer,lifeguard,5,1,1,0.005935296080015749,0.18997168100890652,0.19590697708892227,0.21233803355236586,0.24780437967303806,1
FCGIRtbServer,task-runner,5,9,9,0.7899705275015957,1.4016056379787867,2.1915761654803823,2.440674428356399,2.9476134666830736,2
FCGITrackServer,bid-request,5,64,64,0.11870495685377339,0.6570793621704214,0.7757843190241948,0.8972423296380925,0.9040875900130684,1
FCGIUserBindServer,bid-request,5,64,64,0.5604802114190335,3.8528589563720814,4.413339167791115,5.056283887574332,5.225422016687929,5
UserBindServer,event_engine,5,16,16,1.4582567652503085,26.64436726056099,28.10262402581129,29.16480902430168,31.286557771713102,29
UserBindServer,fast-scheduler,5,1,1,6.831968563849689,42.08986037881612,48.92182894266581,51.86732739006844,58.39013637082383,52
UserBindServer,grpc-server,5,16,16,2.170546085748402,14.196098869702842,16.366644955451243,18.79719199994929,18.97378422614161,19
UserBindServer,grpc_global,5,1,1,0.005620190647469875,0.14496945346063078,0.15058964410810066,0.16431794693208054,0.2093069418525227,1
UserBindServer,http-server,5,4,4,4.666965844950268e-06,0.0001265843676616733,0.00013125133350662356,0.00021080226342478476,0.00021563132265046503,1
UserBindServer,jemalloc_bg,5,4,4,0.10162500122951598,0.02312506038748233,0.12475006161699834,0.1278524377108375,0.15185516791902837,1
UserBindServer,lifeguard,5,1,1,0.0074916120071634815,0.2865123742806411,0.2940039862878045,0.36115657701343273,0.38528323629683775,1
UserBindServer,rdb-batch,5,16,16,37.34114786543948,40.88708327171908,78.22823113715856,81.4131908749441,81.5986360018184,81
UserBindServer,task-runner,5,13,13,0.005844508622494424,0.0038101925762209408,0.009654701198715367,0.011392144973756365,0.01145177768565424,1
