sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1782	jemalloc_bg:c64	jemalloc_bg	409399502509	45715891280	97904	64	64
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1783	grpc_global:c26	grpc_global	2408902209	54965180612	74815	26	26
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1784	event_engin:c54	event_engin	1358905512427	16871246673000	55026793	54	54
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1785	event_engin:c55	event_engin	1317067783167	15778965085974	51332532	55	55
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1786	event_engin:c56	event_engin	1362460566789	10951876065932	55542839	56	56
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1787	event_engin:c57	event_engin	1510441737602	9887766621746	58805319	57	57
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1788	event_engin:c58	event_engin	1469631756892	14416981827975	57393012	58	58
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1789	jemalloc_bg:c65	jemalloc_bg	350958415806	52309022335	98526	65	65
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1790	event_engin:c59	event_engin	1606104989833	7920476422237	61599538	59	59
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1792	event_engin:c60	event_engin	1717741198752	3386072212462	69034980	60	60
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1797	jemalloc_bg:c66	jemalloc_bg	431619582501	51679298844	112499	66	66
0	1789479136987834880	CampaignManager	/opt/foros/server/etc/targetrtb/adcluster/adfe100/CampaignManagerConfig.xml	1764	1799	event_engin:c61	event_engin	1551181606327	2599597418046	65971509	61	61
