host,service,pool,pid,tid,thread_name,affinity,current_cpu,runtime_sec,wait_sec,elapsed_sec,cpu_pct,runqueue_wait_pct,runnable_pct
adfe100,CampaignManager,bs-grpc,1764,1840,bs-grpc:c21,21,21,10.183129005,231.564153348,600.004630784,1.6971750687480773,38.593727692638836,40.29090276138691
adfe100,CampaignManager,bs-grpc,1764,1841,bs-grpc:c22,22,22,6.009786495,131.648361786,600.004630784,1.0016233519976792,21.941224289216034,22.942847641213714
adfe100,CampaignManager,bs-grpc,1764,1842,bs-grpc:c23,23,23,7.798553742,145.788488658,600.004630784,1.2997489255724524,24.297893912502726,25.59764283807518
adfe100,CampaignManager,bs-grpc,1764,1843,bs-grpc:c24,24,24,8.263738866,142.401473923,600.004630784,1.377279181196007,23.73339581345067,25.110674994646676
adfe100,CampaignManager,bs-grpc-c,1764,1844,bs-grpc-c:c61,61,61,42.106586914,69.960257065,600.004630784,7.017710323165532,11.65995285296148,18.67766317612701
adfe100,CampaignManager,cm-grpc-p,1764,1815,cm-grpc-p:c26,26,26,112.690650526,181.109593493,600.004630784,18.781630131546155,30.184699284129184,48.96632941567533
adfe100,CampaignManager,cm-grpc-p,1764,1816,cm-grpc-p:c27,27,27,78.982252021,229.279319793,600.004630784,13.1636070737983,38.21292503916356,51.37653211296186
adfe100,CampaignManager,cm-grpc-p,1764,1817,cm-grpc-p:c28,28,28,112.7643573,202.716505637,600.004630784,18.793914499069068,33.7858235147484,52.57973801381747
adfe100,CampaignManager,cm-grpc-p,1764,1818,cm-grpc-p:c29,29,29,88.808453613,193.900264249,600.004630784,14.801294699502211,32.3164612905802,47.11775599008241
adfe100,CampaignManager,cm-grpc-p,1764,1819,cm-grpc-p:c30,30,30,102.747474155,193.809554265,600.004630784,17.124446859809122,32.3013430765955,49.42578993640463
adfe100,CampaignManager,cm-grpc-p,1764,1820,cm-grpc-p:c31,31,31,89.395181878,183.102073338,600.004630784,14.899081988949185,30.516776695331245,45.41585868428043
