sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201581	jemalloc_bg:c33	jemalloc_bg	356500740856	127775445814	128460	33	33
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201606	fast-schedu:c63	fast-schedu	3042360853752	11206847182209	68501732	63	63
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201607	task-runner:c23	task-runner	71075197847	30277362105	29222	23	23
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201609	uim-grpc-p:c29	uim-grpc-p	15738821935552	20291570574231	179292041	29	29
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201610	uim-grpc-p:c32	uim-grpc-p	15644241455086	25805860414179	179466012	32	32
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201611	uim-grpc-p:c30	uim-grpc-p	21035147564751	13428427554405	205685587	30	30
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201612	uim-grpc-p:c34	uim-grpc-p	22623924032221	12576382297762	204794337	34	34
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201613	uim-grpc-p:c33	uim-grpc-p	12662901645629	23104468065969	155340759	33	33
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201615	jemalloc_bg:c34	jemalloc_bg	370056393426	114723554518	129017	34	34
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201616	uim-grpc-p:c35	uim-grpc-p	19895447549559	16412930463706	195477766	35	35
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201617	uim-grpc-p:c56	uim-grpc-p	18067053475864	13057988272888	184702988	56	56
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201618	uim-grpc-p:c54	uim-grpc-p	18270274783912	14542051513195	173209887	54	54
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201619	uim-grpc-p:c55	uim-grpc-p	21621827178117	12373440555837	207351907	55	55
0	1789479137244800512	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe101/UserInfoManagerConfig.xml	201544	201620	uim-grpc-p:c31	uim-grpc-p	19292395363623	13961192684477	207548203	31	31
