host,service,pool,threads_max,threads_observed,cpu_pct,runqueue_wait_pct,runnable_pct,thread_runnable_p75,thread_runnable_p95
adfe100,CampaignManager,bs-grpc,4,4,1.343956631878554,27.141560426952065,28.485517058830624,29.270957818903113,38.08691377289015
adfe100,CampaignManager,bs-grpc-c,1,1,7.017710323165532,11.65995285296148,18.67766317612701,18.67766317612701,18.67766317612701
adfe100,CampaignManager,cm-grpc-p,16,16,18.055262279477617,29.924623908883994,47.97988618836161,51.54848440017203,53.150996240778376
adfe100,CampaignManager,cm-logging,4,4,23.353100651891918,45.895987726698955,69.24908837859087,71.31433658439363,76.63274089639096
adfe100,CampaignManager,event_engine,16,16,2.3016785634874752,19.110227980530468,21.411906544017945,27.059577604776635,42.30299114997571
adfe100,CampaignManager,fast-scheduler,1,1,0.0,0.0,0.0,0.0,0.0
adfe100,CampaignManager,grpc-server,16,16,2.594706599727822,15.295030712631661,17.889737312359483,20.92067649431837,25.345841573220625
adfe100,CampaignManager,grpc_global,1,1,0.005289398009900544,0.18763367918160098,0.1929230771915015,0.1929230771915015,0.1929230771915015
adfe100,CampaignManager,grpcpp_sync,1,1,0.0004892280574842318,0.007513480011161634,0.008002708068645866,0.008002708068645866,0.008002708068645866
adfe100,CampaignManager,http-server,4,4,3.607722155696608e-06,0.00016392169319007652,0.00016752941534577316,0.00016752941534577316,0.0005696000121756285
adfe100,CampaignManager,jemalloc_bg,4,4,0.6114163170218363,0.13018949157597573,0.7416058085978121,0.845276720260147,0.9135646194159623
adfe100,CampaignManager,lifeguard,1,1,0.006439051970235268,0.3003444889492435,0.30678354091947874,0.30678354091947874,0.30678354091947874
adfe100,CampaignManager,task-runner,5,5,9.36664670563717,6.962536635527915,16.329183341165084,3.490471641132953,61.84332576829419
adfe100,ChannelServer,cs-grpc-p,16,16,34.94757389757743,29.810550120885782,64.7581240184632,66.66456612086473,69.05437696374338
adfe100,ChannelServer,event_engine,16,16,1.8559183370821821,12.520087146436689,14.376005483518872,16.288887510508896,19.82456739435084
adfe100,ChannelServer,fast-scheduler,1,1,0.0,0.0,0.0,0.0,0.0
adfe100,ChannelServer,grpc-server,16,16,2.2647963541850498,13.993706077043413,16.258502431228465,20.450959288374904,26.666703834674248
adfe100,ChannelServer,grpc_global,1,1,0.004246292227229825,0.16682503744880964,0.17107132967603947,0.17107132967603947,0.17107132967603947
adfe100,ChannelServer,grpcpp_sync,2,2,0.0004106375807101024,0.013021937997029791,0.013432575577739895,0.015132423666691007,0.016492302137851897
adfe100,ChannelServer,http-server,4,4,3.936094621326675e-06,0.00011324404265216532,0.000117180137273492,0.000117180137273492,0.00039841246672987264
adfe100,ChannelServer,jemalloc_bg,4,4,0.07883161020473461,0.07445609201653398,0.15328770222126858,0.21864370968034583,0.22525605384644987
adfe100,ChannelServer,lifeguard,1,1,0.0073030719684186295,0.237324863999695,0.2446279359681136,0.2446279359681136,0.2446279359681136
adfe100,ChannelServer,task-runner,2,2,0.28094427559623947,0.48908073937122903,0.7700250149674684,1.1550375224512026,1.46304752843819
adfe100,FCGIActionServer,bid-request,64,64,0.07251585702767421,0.7374720212262311,0.8099878782539054,1.0233511855528392,1.171397463177283
adfe100,FCGIAdServer,bid-request,128,128,3.491930080626756e-06,1.270104650491177e-05,1.6192976585538525e-05,0.0,7.728615350752817e-05
adfe100,FCGIRtbServer,bid-request,20,20,48.580986187902425,30.59382247062734,79.17480865852977,82.25586127449785,84.73988780982228
adfe100,FCGIRtbServer,event_engine,16,16,3.929042284506423,32.74230769605483,36.67134998056125,38.98997714697945,48.86449115774363
adfe100,FCGIRtbServer,fast-scheduler,10,10,4.134422946467284,48.89484307205503,53.029266018522314,59.306014956133055,63.361545564314305
adfe100,FCGIRtbServer,fcgi-accept,16,16,16.07234428679414,60.07298652641693,76.14533081321107,76.12285329009825,78.82590362815282
adfe100,FCGIRtbServer,grpc-asio-p,10,10,12.852625282280808,37.92883975375955,50.781465036040366,51.23979646270063,56.55830648449043
adfe100,FCGIRtbServer,grpc-common,16,16,14.847300081413067,36.87300084961064,51.72030093102371,55.90247033630801,59.98531502397993
adfe100,FCGIRtbServer,grpc_global,1,1,0.006040363547301885,0.18034055746971986,0.18638092101702175,0.18638092101702175,0.18638092101702175
adfe100,FCGIRtbServer,http-server,4,4,3.681929916296424e-06,2.826644850697086e-06,6.50857476699351e-06,6.50857476699351e-06,2.2129154207777926e-05
adfe100,FCGIRtbServer,jemalloc_bg,4,4,1.3825312716188465,0.30401704268790497,1.6865483143067512,1.7654771668026394,1.8143652779855008
adfe100,FCGIRtbServer,lifeguard,1,1,0.005468448461327267,0.20386928687561373,0.209337735336941,0.209337735336941,0.209337735336941
adfe100,FCGIRtbServer,task-runner,9,9,0.8016878450760715,0.7126795446879085,1.51436738976398,0.04173979868668013,8.10553372670684
adfe100,FCGITrackServer,bid-request,64,64,0.12900145241450114,0.7750861375985673,0.9040875900130684,1.1049983860269232,1.2502869639185534
adfe100,FCGIUserBindServer,bid-request,64,64,0.5777401993160273,4.478543688258305,5.056283887574332,6.304588350396901,7.258461826710181
adfe100,UserBindServer,event_engine,16,16,1.478818151864689,23.47284078188662,24.95165893375131,25.810037332195137,35.66047699772281
adfe100,UserBindServer,fast-scheduler,1,1,6.996001904710526,28.7387250104534,35.734726915163925,35.734726915163925,35.734726915163925
adfe100,UserBindServer,grpc-server,16,16,2.14982020797413,14.015560046750057,16.165380254724187,20.028784580916373,25.035262491595027
adfe100,UserBindServer,grpc_global,1,1,0.005968760266600762,0.11836868926694608,0.12433744953354683,0.12433744953354683,0.12433744953354683
adfe100,UserBindServer,http-server,4,4,3.357765751520137e-06,1.1351995718933095e-06,4.492965323413447e-06,4.492965323413447e-06,1.5276082099605713e-05
adfe100,UserBindServer,jemalloc_bg,4,4,0.10144786377809263,0.021994475455558285,0.12344233923365093,0.1289657829788594,0.14403248629444498
adfe100,UserBindServer,lifeguard,1,1,0.0071527241287992465,0.22670164465608525,0.2338543687848845,0.2338543687848845,0.2338543687848845
adfe100,UserBindServer,rdb-batch,16,16,39.05936796210007,32.75919452493107,71.81856248703113,73.45587946602276,76.1749223750221
adfe100,UserBindServer,task-runner,13,13,0.004614021748077548,0.0042358182183243566,0.008849839966401905,0.0,0.04899575891870578
adfe100,UserBindServer,ub-grpc-p,8,8,16.659575433320228,55.54459010562642,72.20416553894665,76.45023328259653,77.23933701682328
adfe100,UserInfoManager,event_engine,16,16,1.2674560751932271,25.832611791882726,27.100067867075957,29.4553042937886,35.94665433880539
adfe100,UserInfoManager,fast-scheduler,1,1,5.341357438712391,44.20442465642929,49.545782095141675,49.545782095141675,49.545782095141675
adfe100,UserInfoManager,grpc-server,16,16,2.1233114681928766,8.43793116374104,10.561242631933917,11.794293402416367,21.471829754698867
adfe100,UserInfoManager,grpc_global,1,1,0.00449710845810351,0.08363578533457242,0.08813289379267591,0.08813289379267591,0.08813289379267591
adfe100,UserInfoManager,grpcpp_sync,1,1,0.00046895554728025823,0.02180924301017736,0.022278198557457617,0.022278198557457617,0.022278198557457617
adfe100,UserInfoManager,http-server,4,4,2.8451030415705944e-06,0.0,2.845103041570595e-06,2.845103041570595e-06,9.673350341340018e-06
adfe100,UserInfoManager,jemalloc_bg,4,4,1.0827990158194039,0.2667998458042381,1.349598861623642,1.6096168398534867,1.6739612704448867
adfe100,UserInfoManager,lifeguard,1,1,0.006528402280631955,0.490514141058273,0.497042543338905,0.497042543338905,0.497042543338905
adfe100,UserInfoManager,rdb-batch,16,16,17.190327300731052,38.599960721042905,55.79028802177396,59.40628003258154,62.84118921146076
adfe100,UserInfoManager,task-runner,13,13,0.013659305693227524,0.015288312877003775,0.0289476185702313,0.0,0.15918389172296818
adfe100,UserInfoManager,uim-grpc-p,10,10,27.667256431935986,42.52159289656327,70.18884932849924,72.15616273949348,75.99791487048631
adfe101,CampaignManager,bs-grpc,4,4,1.2470226087911727,11.433878075517855,12.680900684309027,13.762523323100233,14.611105975760687
adfe101,CampaignManager,bs-grpc-c,1,1,6.0500033631069305,30.35581859525348,36.40582195836041,36.40582195836041,36.40582195836041
adfe101,CampaignManager,cm-grpc-p,16,16,20.677968368475494,20.254625318750666,40.93259368722616,40.93607841674371,48.18251457222227
adfe101,CampaignManager,cm-logging,4,4,24.420496796653147,26.429566481616742,50.850063278269886,50.987472424391484,51.09433158557583
adfe101,CampaignManager,event_engine,16,16,1.9816539768618457,23.827117791271842,25.80877176813369,27.507380682431723,33.06577865130207
adfe101,CampaignManager,fast-scheduler,1,1,0.0,0.0,0.0,0.0,0.0
adfe101,CampaignManager,grpc-server,16,16,2.916967900388587,12.896255392849746,15.813223293238332,17.544003956622937,21.036365369882603
adfe101,CampaignManager,grpc_global,1,1,0.00515649735139146,0.09341184382141811,0.09856834117280956,0.09856834117280956,0.09856834117280956
adfe101,CampaignManager,grpcpp_sync,1,1,0.00043829272577657416,0.009232602351249808,0.009670895077026382,0.009670895077026382,0.009670895077026382
adfe101,CampaignManager,http-server,4,4,4.022051757545669e-06,0.0002189043647881335,0.00022292641654567916,0.00022292641654567916,0.0007579498162553088
adfe101,CampaignManager,jemalloc_bg,4,4,0.4923171260656823,0.2940129504273305,0.7863300764930128,0.8398889443535275,1.0180401482478092
adfe101,CampaignManager,lifeguard,1,1,0.005328657333154163,0.21127313486504257,0.2166017921981967,0.2166017921981967,0.2166017921981967
adfe101,CampaignManager,task-runner,5,5,8.962599908348986,8.040723927023357,17.003323835372345,19.629129865077804,53.27875036645711
adfe101,ChannelServer,cs-grpc-p,16,16,41.861412844959894,12.461213312001359,54.32262615696125,54.89156602507066,55.24661529553052
adfe101,ChannelServer,event_engine,16,16,1.5123557706239634,22.853931829190852,24.366287599814818,24.741789529041007,26.712675269690685
adfe101,ChannelServer,fast-scheduler,1,1,0.0,0.0,0.0,0.0,0.0
adfe101,ChannelServer,grpc-server,16,16,2.3243618425328783,10.9128735713443,13.237235413877176,16.63129498791348,20.95988282148826
adfe101,ChannelServer,grpc_global,1,1,0.005051568841816879,0.17057096040424685,0.17562252924606372,0.17562252924606372,0.17562252924606372
adfe101,ChannelServer,grpcpp_sync,2,2,0.0004586398160383509,0.009261658623138703,0.009720298439177055,0.011397303981898872,0.012738908416076328
adfe101,ChannelServer,http-server,4,4,4.757004321011411e-06,0.0,4.757004321011411e-06,4.757004321011411e-06,1.617381469143879e-05
adfe101,ChannelServer,jemalloc_bg,4,4,0.05118360546624135,0.0560246729189678,0.10720827838520916,0.11451616122179031,0.15666485852641732
adfe101,ChannelServer,lifeguard,1,1,0.0071273808786418485,0.3422838863433029,0.34941126722194477,0.34941126722194477,0.34941126722194477
adfe101,ChannelServer,task-runner,2,2,0.2808886230870497,0.21950141943418983,0.5003900425212395,0.7505850637818593,0.950741080790355
adfe101,FCGIActionServer,bid-request,64,64,0.07611744085963595,0.7646748211678707,0.8407922620275066,0.9310627684532258,1.225553651286801
